BirdID,BTO,RingYear,LastSeenYea,BTOcount
596,J854303,1994,1999,1
595,J854302,1994,2004,1
594,J854301,1994,1995,1
592,J368500,1995,1998,1
591,J368499,1995,1995,1
590,J368498,1995,1995,1
589,J368497,1995,1999,1
588,J368496,1995,1997,1
587,J368495,1995,1997,1
586,J368494,1995,1995,1
585,J368493,1995,1995,1
584,J368492,1995,1995,1
583,J368491,1995,1995,1
582,J368490,1995,1995,1
581,J368489,1995,1995,1
580,J368488,1995,1995,1
579,J368487,1995,1995,1
578,J368486,1995,1995,1
577,J368485,1995,1995,1
576,J368484,1995,1995,1
575,J368482,1995,1995,1
574,J368481,1995,1995,1
573,J368480,1995,1995,1
572,J368479,1995,1995,1
571,J368478,1995,1998,1
570,J368477,1995,1995,1
569,J368476,1995,1995,1
568,J368475,1995,1997,1
567,J368474,1994,1994,1
566,J368473,1994,1994,1
565,J368472,1994,1994,1
564,J368471,1994,1994,1
563,J368470,1994,2007,1
562,J368469,1994,1999,1
561,J368468,1994,1999,1
560,J368467,1994,1995,1
559,J368466,1994,1998,1
558,J368465,1994,1997,1
557,J368464,1994,2000,1
556,J368463,1994,1996,1
555,J368462,1994,1998,1
554,J368461,1994,1998,1
553,J368460,1994,1994,1
552,J368459,1994,1995,1
551,J368458,1994,1996,1
550,J368457,1994,1998,1
549,J368456,1994,1998,1
548,J368455,1994,1995,1
547,J368454,1994,1996,1
546,J368453,1994,1995,1
545,J368452,1994,1998,1
544,J368451,1994,2004,1
543,J368450,1994,1998,1
542,J368449,1994,1999,1
541,J368448,1994,1997,1
540,J368447,1994,1998,1
539,J368446,1994,1998,1
538,J368445,1994,1998,1
537,J368444,1994,1996,1
536,J368443,1994,1997,1
535,J368442,1994,1998,1
534,J368441,1994,1995,1
533,J368440,1994,2005,1
532,J368439,1994,1994,1
531,J368438,1994,1997,1
530,J368437,1994,1998,1
529,J368436,1994,1996,1
528,J368435,1994,1998,1
527,J368434,1994,1995,1
526,J368433,1994,1995,1
525,J368432,1994,2000,1
524,J368431,1994,2005,1
523,J368430,1994,2001,1
522,J368429,1994,2002,1
520,J368427,1994,1994,1
519,J368426,1994,1997,1
518,J368425,1994,1994,1
517,J368424,1994,1994,1
516,J368423,1994,1995,1
515,J368422,1994,1995,1
514,J368421,1994,1994,1
513,J368419,1994,1994,1
512,J368418,1994,1995,1
511,J368417,1994,1999,1
510,J368416,1994,2007,1
509,J368415,1994,2002,1
508,J368414,1994,1997,1
507,J368413,1994,2008,1
506,J368412,1994,2006,1
505,J368411,1994,1998,1
504,J368410,1994,2000,1
503,J368409,1994,2008,1
502,J368408,1994,1999,1
501,J368407,1994,2004,1
500,J368406,1994,1998,1
499,J368405,1994,2006,1
498,J368404,1994,1998,1
497,J368403,1994,2007,1
496,J368402,1994,1995,1
495,J368401,1994,2001,1
494,J368400,1993,2001,1
493,J368386,1993,1995,1
492,J368385,1993,1995,1
491,J368384,1993,1995,1
490,J368383,1993,1999,1
489,J368382,1993,1999,1
488,J368379,1993,2000,1
487,J368378,1993,1995,1
486,J368377,1993,1993,1
485,J368376,1993,1998,1
484,J368375,1993,1993,1
483,J368374,1993,2003,1
482,J368373,1993,1993,1
481,J368372,1993,1993,1
480,J368371,1993,2000,1
479,J368370,1993,1998,1
478,J368369,1993,1995,1
477,J368368,1993,1998,1
476,J368367,1993,2005,1
475,J368366,1993,1993,1
474,J368365,1993,1998,1
473,J368364,1993,1993,1
472,J368363,1993,2008,1
471,J368362,1993,1993,1
470,J368361,1993,1999,1
469,J368360,1993,1999,1
468,J368359,1993,1996,1
467,J368358,1993,2000,1
466,J368357,1993,1999,1
465,J368356,1993,1996,1
464,J368353,1993,1996,1
463,J368329,1994,1994,1
462,J368327,1993,1998,1
461,J368326,1993,1998,1
460,J368325,1993,1993,1
459,J368324,1993,2007,1
458,J368323,1993,2005,1
457,J368322,1993,1998,1
456,J368321,1993,1993,1
455,J368320,1993,1997,1
454,J368319,1993,2004,1
453,J368318,1993,2010,1
452,J368317,1993,1993,1
451,J368316,1993,1993,1
450,J368315,1993,2000,1
449,J368314,1993,2000,1
448,J368313,1993,1996,1
447,J368312,1993,1999,1
446,J368311,1993,1993,1
445,J368310,1993,1993,1
444,J368309,1993,2001,1
443,J368308,1993,1995,1
442,J368307,1993,2004,1
441,J368306,1993,2007,1
440,J368305,1993,1994,1
439,J368304,1993,1995,1
438,J368303,1993,1993,1
437,J368302,1993,1993,1
436,J368301,1993,2000,1
435,HV10850,1986,1986,1
1350,N021906,1998,1998,1
1349,N021905,1998,2005,1
1348,N021904,1998,2003,1
1347,N021903,1998,1999,1
1346,N021902,1998,2005,1
1345,N021901,1998,2000,1
1344,N021900,1999,1999,1
1343,N021899,1999,1999,1
1342,N021898,1999,2000,1
1341,N021897,1999,2002,1
1340,N021895,1999,2000,1
1339,N021894,1999,2000,1
1338,N021893,1999,1999,1
1337,N021892,1999,1999,1
1336,N021891,1999,2000,1
1335,N021890,1999,1999,1
1334,N021889,1999,2000,1
1333,N021888,1999,1999,1
1332,N021887,1999,2000,1
1331,N021886,1999,1999,1
1330,N021885,1999,1999,1
1329,N021884,1999,1999,1
1328,N021883,1999,1999,1
1327,N021882,1999,2000,1
1326,N021881,1999,2000,1
1325,N021880,1999,1999,1
1324,N021879,1999,1999,1
1323,N021878,1999,2000,1
1322,N021877,1999,1999,1
1321,N021876,1999,1999,1
1320,N021875,1999,2000,1
1319,N021874,1999,1999,1
1318,N021873,1999,1999,1
1317,N021872,1999,1999,1
1316,N021871,1999,1999,1
1315,N021870,1999,1999,1
1314,N021869,1999,2000,1
1313,N021868,1999,1999,1
1312,N021867,1999,1999,1
1311,N021866,1999,1999,1
1310,N021865,1999,1999,1
1309,N021864,1999,1999,1
1308,N021861,1999,1999,1
1307,N021860,1998,2000,1
